時間,地點,餐廳/美食
25/10/20,竹南家,麻藥雞蛋
25/10/19,竹南家,臭豆腐，50嵐
25/10/19,竹南家,牛排，洋菇，水蓮
25/10/19,竹南家,蛋餅，酪梨牛奶
25/10/18,竹南家,辣炒雞肉，泡菜
25/10/18,竹南家,辣炒雞肉，泡菜
25/10/18,竹南家,麥味登
25/10/17,新豐,金三角泰式料理（建智&舒婷）
25/10/16,竹南家,清原紅豆飲，綠豆沙
25/10/06,竹南家,小狐狸買的滷味，龜記
25/10/06,大溪家,海鮮料理XD
25/10/06,大溪,墨爾早餐
25/10/05,中壢,饗食天堂(+精靈家人)
25/10/05,大溪,霧隱城滷味
25/10/05,新竹家,茶葉蛋，粥，雞湯
25/10/04,新竹家,肉圓，貢丸湯
25/10/04,新竹,一百種味道
25/10/04,新竹,巨城八色烤肉
25/10/04,新竹家,茶葉蛋，麵包
25/09/29,竹南,三顧茅廬
25/09/29,竹南家,麥味登
25/09/28,竹南家,親愛的小籠湯包，豆花
25/09/28,竹南家,田記烤鴨
25/09/28,竹南家,薯餅
25/09/27,竹南,九鍋
25/09/27,竹南家,八丸肉圓
25/09/27,竹南家,7-11麵包，三明治
25/09/26,頭份,一燒十味昭和園（小狐狸生日）
25/09/21,竹南,村禾牛肉麵
25/09/21,竹南家,麥味登
25/09/20,竹南家,臭豆腐，酒
25/09/20,竹南家,一蘭拉麵
25/09/20,竹南家,巧喜蛋餅
25/09/15,竹南家,7-11麵包，豆漿
25/09/14,竹南家,7-11麵包，涼麵
25/09/14,竹南家,讚不絕口
25/09/14,竹南家,巧喜蛋餅
25/09/13,竹南,錢都
25/09/13,竹南家,炸物，披薩
25/09/13,竹南家,麥味登
25/09/08,竹南家,巧克力柑橘生乳卷
25/09/07,竹南家,武厚甲炒飯
25/09/07,竹南家,巧喜蛋餅，生乳卷
25/09/06,竹南家,鹽水雞（精靈太飽）
25/09/06,芝山,阿里郎村落
25/09/06,竹南家,麵包，全聯蛋糕，紅茶，豆漿
25/09/05,竹南家,潮雞排，啤酒
25/08/31,竹南家,pizza hut
25/08/31,竹南家,麵包，情人果蛋糕
25/08/30,竹南,三顧茅廬，綠豆沙
25/08/30,竹南家,牛肉調理包，泡菜
25/08/30,竹南家,全聯蛋糕，麵包
25/08/29,竹南,孫東寶
25/08/25,新竹家,健康餐
25/08/24,新竹家,山田麻糬
25/08/24,竹南家,披薩，馬鈴薯
25/08/23,竹南家,韓式冷麵
25/08/23,竹南家,黃燜雞，麻古
25/08/23,竹南家,巧喜蛋餅
25/08/11,新竹家,摩斯漢堡
25/08/10,新竹,石二鍋
25/08/03,新竹,粥大福
25/08/03,新竹,真的好吃越南料理
25/08/03,新竹,麥味登
25/08/02,台北,點點心
25/08/02,台北,銀座杏子豬排
25/07/28,日本,萬博忘了帶的麵包
25/07/27,日本,晚上吃冰和泡麵
25/07/27,日本,萬博裡面吃麵包XD
25/07/27,日本,燒肉龍
25/07/26,日本,澳洲炸魚薯條
